record_id,redcap_event_name,changes
55,first_post_series_arm_1,"Doing more dementia diagnostic testing."
56,first_post_series_arm_1,"geri lectures were helpful. will screen for falls "
57,first_post_series_arm_1,"Will use longevity prediction tools  Will trim Med lists more actively"
58,first_post_series_arm_1,..
59,first_post_series_arm_1,"No changes"
60,first_post_series_arm_1,"using screening tools"
61,first_post_series_arm_1,"*I think about safety a lot more in my patients with Dementia (ie support with taking medications, ensuring patients are not wandering, evaluating for safe driving, etc). I am less quick to rx meds for Dementia as they only help a little and have potential for negative side-effects.   *For health maintenance, I think more about physiologic age instead of chronologic age when recommending screening.   *I have a great resource for evaluating patients' prognosis (e-prognosis). "
62,first_post_series_arm_1,N/A
63,first_post_series_arm_1,"Now able to estimate pts longevity, more accessibility to community resources. "
64,first_post_series_arm_1,"assess for falls"
65,first_post_series_arm_1,"Implementing practices and guidelines I learned about. "
67,first_post_series_arm_1,"Using Mini-cog instead of MMSE as initial screen;  using e-prognosis tools;  DOA and other resources -reach out for services "
68,first_post_series_arm_1,"Care for dementia & polypharmacy  Using life expectancy tools to guide treatment"
69,first_post_series_arm_1,"need more time with patients"
70,first_post_series_arm_1,"I have started implementing treatment changes with one of the patients I presented.  I have also shared a lot of information with my colleagues, at least one of whom will take the next series."
72,first_post_series_arm_1,"new a1c goals  encouraged to stop statin use more often  estimated life expectancy---> use in practice to drive your care"
73,first_post_series_arm_1,N/A
74,first_post_series_arm_1,"Many more referrals to community resources for elders!"
75,first_post_series_arm_1,"More consideration of goals of care when treating older adults, less focus on guidelines alone. More consideration of potential medication side-effects."
76,first_post_series_arm_1,"increased completeing POA/POLST and dementia screenings/ decreasing BEERS criteria meds if possible "
77,first_post_series_arm_1,"learned to manage multicomorbities and how to look for medication reduction with polypharmacy. appropriate goals for geriatics when it comes to HTN, DM etc  "
78,first_post_series_arm_1,"I have felt more comfortable screening for falls. "
79,first_post_series_arm_1,"Attempt to discontinue medications when able to do so."
80,first_post_series_arm_1,"I am going back to the walk-in clinic and present the points that apply to the walk-in clinic.  I plan to primarily focus on fall risk assessment and adjusting target goals for HTN and DM to this age group."
81,first_post_series_arm_1,"Correlate knowledge learned and apply it to clinical practice. "
82,first_post_series_arm_1,"I am utilizing the life expectancy website more.  I am more cognizant of high risk meds and polypharmacy."
83,first_post_series_arm_1,"now i know more resources to consult "
84,first_post_series_arm_1,"Increased ability to review/reconcile medications   Identify high risk medications for older adults  Discuss advance directives  Estimate life expectancy  Brouse and consult echo-chicago site  "
85,first_post_series_arm_1,"screen for falls more often. performing cognitive tests when indicated. minimizing number of meds if possible "
86,first_post_series_arm_1,"Working to close care gaps, ensure that medications are necessary for elderly patients. "
87,first_post_series_arm_1,"Using life expectancy calculators, improved dementia screening and management."
88,first_post_series_arm_1,"None at this time"
89,first_post_series_arm_1,"I have started to utilize the resources shared and the network of people resources as well. "
90,first_post_series_arm_1,"Be more consistent in estimating life expectancy  Pay more attention to at risk medications"
91,first_post_series_arm_1,"I have added using a screening tool to  estimate remaining life expectation"
92,first_post_series_arm_1,"I have already implemented fall risk assessment and screening for dementia and MCI into my practice because of this series. Thank you! "
93,first_post_series_arm_1,"i feel more equipped to diagnose dementia and MCI. also feel more confident in deprescribing inappropriate medications or meds that the patient no longer needs. "
94,first_post_series_arm_1,"Participation in ECHO greatly improved how I practice as an advanced practice nurse/ provider. As an APN, I wear a lot of hats. Yes the struggle is REAL. I dont just treat them. I also do case management and often have to do peer-to-peer discussion with patient insurance as to why certain meds need to be continued. I love hearing about the different challenges that other providers (doctors, APN, social worker, etc..) have. It justify that I am not alone.   ECHO taught me a lot and made me a better provider. Period."
95,first_post_series_arm_1,"I have paid much closer attention to the meds I prescribe and have definitely tried my best to condense the med list when possible."
96,first_post_series_arm_1,None
97,first_post_series_arm_1,"Use geriatric knowledge to assist in my patient care and help educate other staff"
98,first_post_series_arm_1,"Increase and change in what assessment is used for screening for Cognitive Impairment. "
99,first_post_series_arm_1,"I'm assessing my older adults more for medication safety, falls, and their need for additional resources"
100,first_post_series_arm_1,"I am better able to understand my home program medical director about his assessments and plans of care. I will be able to introduce concepts such as palliative care and hospice to clinicians and caregivers of patients with dementia. "
101,first_post_series_arm_1,"screening more readily for falls and dementia"
102,first_post_series_arm_1,"I have screened more for dementia patients. More family meetings with care team .Consulted with the social worker"
104,first_post_series_arm_1,none
105,first_post_series_arm_1,"I feel more empowered to make suggestions related to medications to avoid in elderly patients."
107,first_post_series_arm_1,"evidence based care of older adults, increase confidence"
108,first_post_series_arm_1,"Tons! I treat hep c and now feel more confident with older adults."
109,first_post_series_arm_1,"Better review of medications on Beers Criteria."
110,first_post_series_arm_1,"Mortality predictors.    Liked med reduction review best"
111,first_post_series_arm_1,
112,first_post_series_arm_1,"I have taken on more geriatric patients!"
114,first_post_series_arm_1,"I have spent more time looking at polypharmacy and reducing medications in the geriatric population.  I also, am better at evaluating caregivers and potential home needs/community resources."
115,first_post_series_arm_1,"used of screening "
116,first_post_series_arm_1,"have more resources to use to assess geriatric concerns, more familiartiy with tools and reasonable management options/goals"
117,first_post_series_arm_1,"Improved assessments"
119,first_post_series_arm_1,"I utlilize age based guidelines, predict life span and have access to many more resources- I have all the handouts and webpages printed out for reference. I learned alot and enjoyed it!"
121,first_post_series_arm_1,"REDUCE MEDICATIONS ON MY SENIOR PATIENTS. Discussing achievable goals with my patients."
123,first_post_series_arm_1,"Assessing cognitive and functional capacity among geriatric patients.  Modifying screening and med recs based on life expectancy "
124,first_post_series_arm_1,"various.  I have some authoritative sources of information in the course materials to consult when I have questions for one.  "
127,first_post_series_arm_1,"more medication screening and fall screening"
128,first_post_series_arm_1,"SOME DISCUSSION POINTS WERE HELPFUL.  GOOD TO KNOW RESOURCES OUT THERE"
130,first_post_series_arm_1,"Medication changes, Fall management and metrics surround how we are monitoring fall prevention"
132,first_post_series_arm_1,"Applied some of the knowledge I have gotten"
135,first_post_series_arm_1,"Issues related to poly pharmacy, age-based safety sceenings, medication reconciliation, etc."
136,first_post_series_arm_1,"Better med reconsideration and target levels"
137,first_post_series_arm_1,"I have started to calculate prognosis in our patients."
139,first_post_series_arm_1,"1. Evaluate for high risk medication in older patients.  2, community resources for elderly patients   3. Decrease risk of falling "
140,first_post_series_arm_1,"life expectancy screening, dementia diagnosis, management "
141,first_post_series_arm_1,"so many changes!!!!! built protocols based on best practice "
145,first_post_series_arm_1,"More discussion of advanced directives  More med rec  Less polypharmacy   "
146,first_post_series_arm_1,"I feel more comfortable with advanced care planning, life expectancy scales, more familiar with the beers list and common geriatric disorders"
147,first_post_series_arm_1,"I now use and chart patient prognosis on critically ill patients."
148,first_post_series_arm_1,"Improved medication rec and fall risk assessments "
149,first_post_series_arm_1,"Doing more med reconciliation and discontinuing medications to reduce polypharmacy. Use 4 Ms"
151,first_post_series_arm_1,"Improved Community resources and treatment best practices."
152,first_post_series_arm_1,
154,first_post_series_arm_1,"Able to individualize care to pt more effectively."
155,first_post_series_arm_1,"I definitely conclude that I need to participate more in these education series  "
157,first_post_series_arm_1,"paying more attention to vitals.  interest in connecting elderly patients with community resources. "
158,first_post_series_arm_1,"feeling confident and taking on more geriatric patients."
160,first_post_series_arm_1,"I am able to expand my care in my geriatric population "
161,first_post_series_arm_1,"Importance of de-prescribing medications in older adults "
162,first_post_series_arm_1,"Great series"
163,first_post_series_arm_1,"more info "
164,first_post_series_arm_1,"Greater focus on assessing for falls and thinking about fall prevention.  Greater focus on deprescribing and avoiding high risk medication.  Thinking about the 4 Ms more especially what matters to the patient.  Thinking about if the risks/benefits to screening tests in older, frail adults."
165,first_post_series_arm_1,"Looking at those medications more closely that are a risk for the elderly population"
167,first_post_series_arm_1,"assessing pts needs"
171,first_post_series_arm_1,"Medication assessment, fall assessment, social engagement assessment, home safety assessment, adjustment of treatments/goals based on life expectancy."
173,first_post_series_arm_1," -utilizing eprognosis in my assessment and plan for patients  "
174,first_post_series_arm_1,"using more tools online to point-of-care management. like Eprognosis"
176,first_post_series_arm_1,"Improved patient disease management"
177,first_post_series_arm_1,"Polypharmacy in geriatrics awareness, dementia and fall risk screening tools, adjusting preventive measures based on estimated life expectancy"
178,first_post_series_arm_1,"more goals of care discussions, able to use predictive model for expected life expectancy"
180,first_post_series_arm_1,"I have made a conscious effort to identify and address safety concerns with each of my geriatric patients. I have also began to reduce medication dosages, or to eleminate them altogether when the need is no longer there. "
181,first_post_series_arm_1,"Regular screenings on dementia and fall"
182,first_post_series_arm_1,"Thinking on the decreasing of medications in this population "
183,first_post_series_arm_1,na
185,first_post_series_arm_1,"will do more cognitive impairment assessments on my patients"
186,first_post_series_arm_1,"increasing in delivering quality based care"
189,first_post_series_arm_1,"Plan to start doing more end-of-life planning with patients; screen more frequently for falls"
191,first_post_series_arm_1,"Screening for falls, more confidence deprescribing. Hoping to incorporate better dementia care"
192,first_post_series_arm_1,"Improvement on diagnosis and treatment "
193,first_post_series_arm_1,"Timing that we have during the appointments"
194,first_post_series_arm_1,"Screening tools and community resources"
195,first_post_series_arm_1,"reviewed protocols"
196,first_post_series_arm_1,"Include pts life expectancy "
198,first_post_series_arm_1,"Using life expectancy to inform care plan "
202,first_post_series_arm_1,"More able to handle a variety of geriatric issues"
203,first_post_series_arm_1," n/a"
205,first_post_series_arm_1,"Adjustment of high risk medications, earlier referrals for palliative care/hospice"
207,first_post_series_arm_1,"advanced directives discussions"
211,first_post_series_arm_1,"identify high risk meds, change approach to prescribing, "
212,first_post_series_arm_1,na
213,first_post_series_arm_1,n/a
214,first_post_series_arm_1,"being more aware of risky medications in the senior population"
216,first_post_series_arm_1,"Using the life expectancy tool"
217,first_post_series_arm_1,"none yet"
218,first_post_series_arm_1,None
219,first_post_series_arm_1,"speaking with colleagues on FQHC efficiency"
220,first_post_series_arm_1,"Using online tools "
221,first_post_series_arm_1,"Keeping in mind the 4 M's when working with patient"
222,first_post_series_arm_1,"Super helpful community based resources I will incorporate now "
223,first_post_series_arm_1,"I have been able to better recognize when a few of my patients should be referred to specialists."
224,first_post_series_arm_1,"Providing more resources to my patients   Using diagnostic tools "
225,first_post_series_arm_1,"More comprehensive and more confident"
226,first_post_series_arm_1,"Many - "
227,first_post_series_arm_1,"Polypharmacy, utilizing eprognosis more "
228,first_post_series_arm_1,"More dementia screening, med recs"
229,first_post_series_arm_1,"Estimating life expectancy more frequently for patients, able to screen for dementia, more community resources"
230,first_post_series_arm_1,"It has helped me have a more holistic approach to management of geriatric patients. I think two key things is that reviewing the medication list to reduce the risk of polypharmacy remains a high priority. I feel more confident in my decision to not prescribe certain medications or have that conversation with patients and caregivers about whey certain medications are not safe. Additionally, knowing that there are certain tools we can use to get a better idea of life expectancy is helpful in guiding treatment and referrals to certain specialists. It makes me feel overall more comfortable with some of these decisions. "
231,first_post_series_arm_1,"Will estimate longevity, which will help me decide which screening tests are needed. Will also be more mindful of discussing POA and living wills. "
232,first_post_series_arm_1,
233,first_post_series_arm_1,"better at managing geri cases without referrals"
234,first_post_series_arm_1,"I counsel patients better about cognitive assessments and screening for fall risk."
