sport;substance_reason;sanction_terms;sanction_announced
Rugby;GW1516;"4-Year Suspension; Loss of Results";03/04/2021
Mixed Martial Arts;Tamoxifen;7-Month Suspension;02/01/2021
Mixed Martial Arts;"7-keto-DHEA; AOD-9064";6-Month Suspension;01/28/2021
Mixed Martial Arts;Ostarine;Public Warning;01/19/2021
Mixed Martial Arts;LGD-4033;1-Year Suspension;01/15/2021
Mixed Martial Arts;Anastrozole;Public Warning;01/15/2021
Weightlifting;Non-Analytical: Possession and Use/Attempted Use;"4-Year Suspension; Loss of Results";01/05/2021
Track and Field;Hydrochlorothiazide (HCTZ);No Fault or Negligence;
Track and Field;Spironolactone;Public Warning;12/28/2020
Weightlifting;GW1516;"4-Year Suspension; Loss of Results";12/22/2020
Archery;Hydrochlorothiazide (HCTZ);No Fault or Negligence;
Weightlifting;Ostarine;"4-Year Suspension; Loss of Results";12/16/2020
Cycling;Anastrozole;"1-Year Suspension; Loss of Results";12/09/2020
Mixed Martial Arts;"Drostanolone; Stanozolol; Dehydrochloromethyltestosterone (DHCMT); Tampering";4-Year Suspension;12/04/2020
Mixed Martial Arts;Ostarine;6-Month Suspension;12/04/2020
Mixed Martial Arts;3 Whereabouts Failures;6-Month Suspension;12/03/2020
Weightlifting;Non-Analytical: Possession and Use/Attempted Use;"4-Year Suspension; Loss of Results";11/30/2020
Mixed Martial Arts;Hydrochlorothiazide (HCTZ);1-Year Suspension;11/23/2020
Squash;Spironolactone;Public Warning;11/20/2020
Mixed Martial Arts;Metandienone;20-Month Suspension;11/18/2020
Weightlifting;Non-Analytical: Possession and Use/Attempted Use;"2-Year Suspension; Loss of Results";11/09/2020
Weightlifting;Dehydrochloromethyltestosterone (DHCMT);"8-Year Suspension; Loss of Results";"Original 12/20/2018; Updated 11/04/2020"
Wrestling;Non-Analytical: 3 Whereabouts Failures;"1-Year Suspension; Loss of Results";10/30/2020
Paralympic Triathlon;Hydrochlorothiazide (HCTZ);No Fault or Negligence;
Mixed Martial Arts;Anastrozole;9-Month Suspension;10/20/2020
Cycling;Vilanterol;"6-Month Suspension; Loss of Results - Sanction Reduced";Original: 10/19/2020
Cycling;Androgenic Anabolic Steroid;"2-Year Suspension; Loss of Results";10/01/2020
Weightlifting;Clomiphene;"2-Year Suspension; Loss of Results";09/29/2020
Track and Field;Androgenic Anabolic Steroid;"8-Year Suspension; Loss of Results";09/24/2020
Mixed Martial Arts;Ostarine;6-Month Suspension;09/21/2020
Weightlifting;Higenamine;"20-Month Suspension; Loss of Results";09/17/2020
Mixed Martial Arts;"Stanozolol; Drostanolone";2-Year Suspension;09/11/2020
Cycling;Androgenic Anabolic Steroid;"2-Year Suspension; Loss of Results";09/09/2020
Weightlifting;Non-Analytical: Possession and Use/Attempted Use;"4-Year Suspension; Loss of Results";09/08/2020
Wrestling;Ostarine;"1-Year Suspension; Loss of Results";09/08/2020
Mixed Martial Arts;Mesterolone;14-Month Suspension;09/02/2020
Mixed Martial Arts;GW1516;20-Month Suspension - Sanction Reduced;"Original: 09/05/2019; Updated: 08/26/2020"
Cycling;Methyltestosterone;"1-Year Suspension; Loss of Results";08/14/2020
Wrestling;"Non-Analytical: Possession and Use/Attempted Use; Refusal to Submit to Sample Collection";"4-Year Suspension; Loss of Results";07/28/2020
Mixed Martial Arts;GHRP-6;2-Year Suspension;07/27/2020
Weightlifting;19-norandrosterone (19-NA);"4-Year Suspension; Loss of Results";07/22/2020
Weightlifting;Non-Analytical: Possession (Exemestane);"2-Year Suspension; Loss of Results";07/22/2020
Track and Field;19-norandrosterone (19-NA);"4-Year Suspension; Loss of Results";07/16/2020
Weightlifting;Non-Analytical: Possession and Use/Attempted Use;"4-Year Suspension; Loss of Results";07/02/2020
Cycling;Phentermine;"4-Year Suspension; Loss of Results";06/30/2020
Mixed Martial Arts;Boldenone;2-Year Suspension;06/22/2020
Mixed Martial Arts;"Ostarine; GW1516";1-Year Suspension;06/18/2020
Boxing;"Letrozole; GW1516";No Fault or Negligence;
Softball;LGD-4033;No Fault or Negligence;
Weightlifting;Non-Analytical: Possession and Use/Attempted Use;"4-Year Suspension; Loss of Results";06/09/2020
Track and Field;Cannabinoids;"6-Month Suspension with 3-Month Deferral; Loss of Results";06/01/2020
Triathlon;"Androgenic Anabolic Steroid; Cannabinoids; Anastrozole; Clomiphene; GW1516";"4-Year Suspension; Loss of Results";05/22/2020
Mixed Martial Arts;Cannabinoids;9-Month Suspension with 5-Month Deferral;05/11/2020
Weightlifting;Cannabinoids;"12-Month Suspension with 6-Month Deferral; Loss of Results";05/04/2020
Weightlifting;"Androgenic Anabolic Steroid; Clomiphene; Modafinil";"4-Year Suspension; Loss of Results";04/24/2020
Weightlifting;"Non-Analytical: Possession and Use/Attempted Use; Non-Analytical: 3 Whereabouts Failures";"8-Year Suspension; Loss of Results; Sanction tolled due to retirement";04/16/2020
Mixed Martial Arts;Non-Analytical: Complicity;2-Year Suspension;03/23/2020
Cycling;"Oxandrolone; Clomiphene";"4-Year Suspension; Loss of Results";03/20/2020
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;"4-Year Suspension; Loss of Results";03/18/2020
Weightlifting;"Amphetamine; Modafinil";"4-Year Suspension; Loss of Results";03/12/2020
Paralympic Track and Field;Torsemide;No Fault or Negligence;
Weightlifting;Cannabinoids;"6-Month Suspension with 3-Month Deferral; Loss of Results";03/05/2020
Mixed Martial Arts;Stanozolol;20-Month Suspension;02/28/2020
Mixed Martial Arts;19-norandrosterone (19-NA);2-Year Suspension;02/27/2020
Weightlifting;Dehydroepiandrosterone (DHEA);"1-Year Suspension; Loss of Results";02/21/2020
Mixed Martial Arts;Boldenone;2-Year Suspension;02/11/2020
Brazilian Jiu-Jitsu;Ostarine;1-Year Suspension;02/07/2020
Mixed Martial Arts;"Ostarine; LGD-4033; GW1516";3-Month Suspension;01/31/2020
Mixed Martial Arts;Ostarine, S-23;3-Month Suspension;01/31/2020
Mixed Martial Arts;Trenbolone;2-Year Suspension - Sanction Reduced;"Original 09/11/2018; Updated 01/16/2020"
Mixed Martial Arts;Ostarine;6-Month Suspension;01/09/2020
Mixed Martial Arts;Cocaine, Fentanyl;6-Month Suspension;01/08/2020
Waterskiing;Spironolactone;Public Warning;01/07/2020
Weightlifting;Androgenic Anabolic Steroid;"39-Month Suspension; Loss of Results";01/06/2020
Weightlifting;5-methylhexan-2-amine;"2-Year Suspension; Loss of Results";12/27/2019
Mixed Martial Arts;Furosemide;1-Year Suspension;12/23/2019
Weightlifting;Non-Analytical: Complicity;4-Year Suspension;12/20/2019
Weightlifting;Oxandrolone;"2-Year Suspension; Loss of Results";12/19/2019
Mixed Martial Arts;Hydrochlorothiazide;4-Month Suspension;12/18/2019
Track and Field;Ostarine;"4-Year Suspension; Loss of Results";12/17/2019
Weightlifting;Ostarine;"4-Year Suspension; Loss of Results";12/17/2019
Paralympic Track and Field;Stanozolol;"4-Year Suspension; Loss of Results";"Original: 06/17/2019; Updated: 12/16/2019"
Weightlifting;Ostarine;"2-Year Suspension; Loss of Results; Sanction Reduced; Unretired - Eligible to compete starting 07/25/2020";"Original: 10/31/2017; Updated: 12/16/2019"
Weightlifting;Clomiphene;"2-Year Suspension; Loss of Results";12/04/2019
Weightlifting;"Methandienone; Dehydrochloromethyltestosterone (DHCMT)";"4-Year Suspension; Loss of Results";11/27/2019
Weightlifting;GW1516;"4-Year Suspension; Loss of Results";11/21/2019
Weightlifting;Di?hydroxy?LGD?4033;"4-Year Suspension; Loss of Results";11/20/2019
Mixed Martial Arts;Stanozolol;2-Year Suspension;10/25/2019
Mixed Martial Arts;Drostanolone;2-Year Suspension;10/24/2019
Mixed Martial Arts;Tamoxifen;1-Year Suspension;10/18/2019
Mixed Martial Arts;Furosemide;1-Year Suspension;10/17/2019
Cycling;Testosterone;"2-Year Suspension; Loss of Results";10/17/2019
Swimming;Androgenic Anabolic Steroid;"20-Month Suspension; Loss of Results; Sanction tolled due to retirement";10/11/2019
Weightlifting;"Ostarine; LGD-4033";"4-Year Suspension; Loss of Results";10/10/2019
Bobsled and Skeleton;Non-Analytical: Refusal to Submit to Sample Collection;"4-Year Suspension; Loss of Results; Sanction tolled due to retirement";10/09/2019
Track and Field;Non-Analytical: Refusal to Submit to Sample Collection;"4-Year Suspension; Loss of Results";10/04/2019
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;"4-Year Suspension; Loss of Results; Sanction tolled due to retirement";10/03/2019
Track and Field;Non-Analytical: Tampering, Administration (IV), and Trafficking (Testosterone);4-Year Suspension;09/30/2019
Track and Field;Non-Analytical: Tampering, Administration (IV), and Complicity (Testosterone);4-Year Suspension;09/30/2019
Weightlifting;Vilanterol;Public Warning;09/27/2019
Mixed Martial Arts;Ipamorelin;2-Year Suspension;09/18/2019
Mixed Martial Arts;Stanozolol;2-Year Suspension;09/17/2019
Mixed Martial Arts;"Recombinant human erythropoietin (rHuEPO); Intact human chorionic gonadtrophin (hCG)";2-Year Suspension;09/10/2019
Triathlon;Cannabinoids;"6-Month Suspension; Loss of Results";09/05/2019
Weightlifting;"Methenolone; LGD?4033; GW1516";"4-Year Suspension; Loss of Results";09/04/2019
Mixed Martial Arts;"Ostarine; LGD-4033; GW1516";6-Month Suspension;08/27/2019
Mixed Martial Arts;"Anastrozole; GHRP-2; GHRP-6; Clomiphene";2-Year Suspension;08/26/2019
Mixed Martial Arts;"Clomiphene; Dehydrochloromethyltestosterone (DHCMT)";1-Year Suspension;08/23/2019
Powerlifting;Ostarine, RAD140, GW1516;"4-Year Suspension; Loss of Results";08/21/2019
Karate;LGD-4033;"9-Month Suspension; Loss of Results";"Original: 08/12/2019; Updated: 09/10/2019"
Swimming;Non-Analytical: Use (Vilanterol);Public Warning;08/01/2019
Triathlon;Higenamine;10-Month Suspension;07/30/2019
Taekwondo;Ibutamoren;6-Month Suspension;07/29/2019
Mixed Martial Arts;Cannabinoids;6-Month Suspension with 3-Month Deferral;07/18/2019
Weightlifting;Heptaminol, 1,4?dimethylpentylamine (1,4?DMPA), Octodrine, Ostarine, Di?hydroxy?LGD?4033;"4-Year Suspension; Loss of Results";07/17/2019
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;"8-Year Suspension; Loss of Results";07/11/2019
Mixed Martial Arts;Boldenone;2-Year Suspension;07/09/2019
Taekwondo;Higenamine;"18-Month Suspension; Loss of Results";07/08/2019
Weightlifting;Higenamine, Heptaminol, and Octodrine;"16-Month Suspension; Loss of Results";06/27/2019
Mixed Martial Arts;Androsta-3,5-diene-7,17-dione;10-Month Suspension;06/14/2019
Mixed Martial Arts;"Drostanolone; Dehydrochloromethyltestosterone (DHCMT)";16-Month Suspension;05/31/2019
Triathlon;Ostarine;"6-Month Suspension; Loss of Results";05/24/2019
Brazilian Jiu-Jitsu;19?norandrosterone (19?NA), 19-noretiocholanolone;"4-Year Suspension; Loss of Results";05/10/2019
Weightlifting;DHCMT, Androgenic Anabolic Steroids;"4-Year Suspension; Loss of Results; Sanction tolled due to retirement";05/07/2019
Weightlifting;Clomiphene;"2-Year Suspension; Loss of Results;";05/07/2019
Mixed Martial Arts;Ostarine;2-Year Suspension - Sanction Reduced;"Original: 01/10/2018; Updated 05/03/2019"
Racquetball;Octopamine;"16-Month Suspension; Loss of Results";05/02/2019
Mixed Martial Arts;Non-Analytical: Possession and Administration;6-Month Suspension;04/26/2019
Mixed Martial Arts;Non-Analytical: Intravenous Infusion;6-Month Suspension;04/26/2019
Mixed Martial Arts;Ostarine;6-Month Suspension;04/23/2019
Mixed Martial Arts;Ostarine;6-Month Suspension;04/23/2019
Mixed Martial Arts;Ostarine;6-Month Suspension;04/23/2019
Mixed Martial Arts;Ostarine;6-Month Suspension;04/23/2019
Mixed Martial Arts;LGD-4033;4-Month Suspension;04/22/2019
Paralympic Cycling;Hydrochlorothiazide;No Fault or Negligence;
Mixed Martial Arts;Stanozolol;6-Month Suspension;04/11/2019
Mixed Martial Arts;Recombinant human erythropoietin (rHuEPO);2-Year Suspension;04/09/2019
Mixed Martial Arts;Boldenone;2-Year Suspension;04/08/2019
Mixed Martial Arts;"Methyltestosterone; Stanozolol";Lifetime Suspension;04/01/2019
Cycling;Androgenic Anabolic Steroid;"1-Year Suspension; Loss of Results";03/20/2019
Paralympic Track and Field;Hydrochlorothiazide;No Fault or Negligence;
Skiing;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;03/01/2019
Weightlifting;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;02/26/2019
Mixed Martial Arts;Drostanolone;2-Year Suspension;02/22/2019
Mixed Martial Arts;Higenamine;10-Month Suspension;02/19/2019
Cycling;Androgenic Anabolic Steroid;"2-Year Suspension; Loss of Results";02/12/2019
Cycling;Androgenic Anabolic Steroid;"4-Year Suspension; Loss of Results";02/11/2019
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;"4-Year Suspension; Loss of Results";02/07/2019
Weightlifting;Ostarine;"9-Month Suspension; Loss of Results";01/28/2019
Skateboarding;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;01/22/2019
Cycling;"Erythropoietin (EPO); 19?norandrosterone (19?NA); Androgenic-anabolic steroids (AAS); Clostebol, Testosterone";"4-Year Suspension; Loss of Results";01/18/2019
Mixed Martial Arts;"Furosemide; Hydrochlorothiazide; Chlorothiazide; Thiazide metabolite 4-amino-6-chloro-1,3-benzenedisulfonamide (ACB)";6-Month Suspension;01/15/2019
Weightlifting;Heptaminol;"9-Month Suspension; Loss of Results";01/14/2019
Cycling;"Trenbolone; Clomiphene";Public Warning;01/04/2019
Cycling;Androgenic Anabolic Steroid;"4-Year Suspension; Loss of Results";12/20/2018
Gymnastics;Acetazolamide;"6-Month Suspension; Loss of Results";12/19/2018
Mixed Martial Arts;"Drostanolone; Metandienone";2-Year Suspension;12/18/2018
Mixed Martial Arts;"Boldenone; Tamoxifen";2-Year Suspension;12/17/2018
Weightlifting;"Androgenic Anabolic Steroid; Boldenone";"4-Year Suspension - Loss of Results; Additional 4 months of suspension - Loss of Results; Sanction tolled due to retirement";"Original: 02/14/2017; Updated: 12/11/2018"
Brazilian Jiu-Jitsu;Clomiphene;"2-Year Suspension - Loss of Results; Additional 3 months of suspension - Loss of Results";"Original: 05/10/2017;"
Cycling;Erythropoietin (EPO);4-Year Suspension - Loss of Results;11/12/2018
Cycling;Androgenic Anabolic Steroid;4-Year Suspension - Loss of Results;11/07/2018
Mixed Martial Arts;Ostarine;6-Month Suspension;10/29/2018
Cycling - Athlete Support Personnel;Non-Analytical;5-Year Suspension;"Original: 07/10/2012;"
Cycling - Athlete Support Personnel;Non-Analytical: Administration and Trafficking;Lifetime Suspension;"Original: 04/22/2014;"
Cycling - Athlete Support Personnel;Non-Analytical;Lifetime Suspension;"Original: 04/22/2014;"
Cycling - Athlete Support Personnel;Non-Analytical;15-Year Suspension;"Original: 04/22/2014;"
Cycling;Testosterone and Clomiphene;"21-Month Suspension - Loss of Results; Additional 3 months of suspension - Loss of Results";Original: 04/24/2018
Cycling;Androgenic Anabolic Steroid;4-Year Suspension - Loss of Results;10/18/2018
Mixed Martial Arts;Cocaine;"2-Year Suspension; Sanction tolled due to retirement";10/16/2018
Cycling;Dexamethasone;4-Year Suspension - Loss of Results;10/03/2018
Archery;"Cannabinoids; Propranolol";2-Year Suspension - Loss of Results;10/01/2018
Swimming;Hydrochlorothiazide;No Fault of Negligence;
Cycling;Erythropoietin (EPO), Dexamethasone;4-Year Suspension - Loss of Results;09/27/2018
Track & Field;Clenbuterol;No Fault or Negligence;
Mixed Martial Arts;"Tamoxifen; Boldenone, Methandienone, Drostanolone, and Clenbuterol";2-Year Suspension - Loss of Results - Additional Loss of Results;"Original: 10/28/2016; Updated: 09/26/2018"
Weightlifting;Stanozolol;42-Month Suspension - Loss of Results;09/26/2018
Mixed Martial Arts;Chlorine-substituted Anabolic Steroid;15-Month Suspension - Loss of Results;09/19/2018
Weightlifting;Clenbuterol;No Fault or Negligence - Loss of Results;
Weightlifting;DHCMT;4-Year Suspension - Loss of Results;09/17/2018
Cycling;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;09/12/2018
Wrestling;Ostarine;1-Year Suspension - Loss of Results;08/31/2018
Weightlifting;1,4?dimethylpentylamine;16-Month Suspension - Loss of Results;08/27/2018
Weightlifting;Androgenic Anabolic Steroids;45-Month Suspension - Loss of Results;08/24/2018
Track & Field;Drostanolone;4-Year Suspension - Loss of Results;08/24/2018
Weightlifting;Androgenic Anabolic Steroids;2-Year Suspension - Loss of Results;08/22/2018
Track & Field;Canrenone;6-Month Suspension - Loss of Results;08/21/2018
Cycling;Androgenic Anabolic Steroid, Clomiphene;1-Year Suspension - Loss of Results;08/15/2018
Weightlifting;1,3-dimethylbutylamine (DMBA);9-Month Suspension - Loss of Results;08/13/2018
Paralympic Judo;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;08/08/2018
Cycling;Androgenic Anabolic Steroids;4-Year Suspension - Loss of Results;08/01/2018
Swimming;Anastrozole;6-Month Suspension - Loss of Results;07/26/2018
Swimming;Non-Analytical: Use (IV);14-Month Suspension;07/23/2018
Mixed Martial Arts;"Methyltestosterone; Hydrochlorothiazide";1-Year Suspension;07/18/2018
Triathlon;Androgenic Anabolic Steroids;1-Year Suspension - Loss of Results;06/29/2018
Mixed Martial Arts;Clomiphene;1-Year Suspension;06/12/2018
Cycling;GW1516;42-Month Suspension - Loss of Results;06/08/2018
Cycling;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;06/01/2018
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;05/22/2018
Track and Field;Meldonium;4-Year Suspension - Loss of Results;05/15/2018
Karate;Methylphenidate;4-Month Suspension - Loss of Results;05/09/2018
Swimming;Non-Analytical: Use (Vilanterol);3-Month Suspension - Loss of Results;05/08/2018
Soccer;Spironolactone;Public Warning;05/04/2018
Mixed Martial Arts;Hydrochlorothiazide;6-Month Suspension;04/23/2018
Mixed Martial Arts;Hydrochlorothiazide;6-Month Suspension;04/23/2018
Mixed Martial Arts;"Anastrozole; Hydrochlorothiazide";6-Month Suspension;04/23/2018
Paralympic Cycling;Benzoylecgonine and Methylecgonine;1-Year Suspension - Loss of Results;04/18/2018
Weightlifting;Stanozolol;4-Year Suspension - Loss of Results;04/16/2018
Cycling;Androgenic Anabolic Steroid;1-Year Suspension - Loss of Results;04/13/2018
Cycling;Testosterone;3-Year Suspension - Loss of Results;04/10/2018
Mixed Martial Arts;Non-Analytical: 3 Whereabouts Failures;1-Year Supension;04/09/2018
Weightlifting;Higenamine;2-Year Suspension - Loss of Results;04/09/2018
Mixed Martial Arts;Testosterone;2-Year Suspension;04/06/2018
Weightlifting;Ostarine and RAD140;"3-Year Suspension - Loss of Results; Sanction tolled due to retirement";04/06/2018
Weightlifting;Ostarine, RAD140, Ibutamoren;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";04/05/2018
Triathlon;Erythropoietin (EPO);4-Year Suspension - Loss of Results;04/02/2018
Triathlon;Androgenic Anabolic Steroid;2-Year Suspension - Loss of Results;03/30/2018
Weightlifting;Ostarine;3-Month Suspension - Loss of Results;03/29/2018
Mixed Martial Arts;Stanozolol;2-Year Suspension;03/28/2018
Mixed Martial Arts;Ostarine;Public Warning;03/23/2018
Weightlifting;Higenamine;1-Year Suspension - Loss of Results;03/23/2018
Weightlifting;Higenamine, Clomiphene, Dehydrochloromethyltestosterone (DHCMT);4-Year Suspension - Loss of Results;03/09/2018
Mixed Martial Arts;Non-Analytical: Blood Transfusion;6-Month Suspension;03/08/2018
Mixed Martial Arts;Cannabinoids;6-Month Suspension;03/07/2018
Swimming;Benzoylecgonine and Methylecgonine;1-Year Suspension - Loss of Results;03/06/2018
Mixed Martial Arts;Furosemide;1-Year Suspension;03/02/2018
Mixed Martial Arts;Ostarine;2-Year Suspension;02/15/2018
Mixed Martial Arts;Ostarine;2-Year Suspension;02/15/2018
Mixed Martial Arts;Ostarine;9-Month Suspension;02/06/2018
Mixed Martial Arts;Furosemide;1-Year Suspension;02/05/2018
Mixed Martial Arts;Clomiphene;1-Year Suspension;01/30/2018
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;2-Year Suspension - Loss of Results;01/29/2018
Paralympic Alpine Skiing;Torsemide;No Fault or Negligence;
Cycling;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;01/26/2018
Cycling;Testosterone;4-Year Suspension - Loss of Results;01/25/2018
Racquetball;Spironolactone;Public Warning;01/24/2018
Boccia;Chlorthalidone;Public Warning;01/24/2018
Weightlifting;Non-Analytical: Refusal to Submit to Sample: Collection;4-Year Suspension - Loss of Results;01/23/2018
Weightlifting;Hydrochlorothiazide;Public Warning;01/22/2018
Triathlon;Testosterone;2-Year Suspension - Loss of Results;01/19/2018
Mixed Martial Arts;Clenbuterol;4-Year Suspension;01/19/2018
Wrestling;Amphetamine;1-Year Suspension - Loss of Results;01/09/2018
Mixed Martial Arts;Dehydroepiandrosterone (DHEA);18-Month Suspension;01/05/2018
Archery;Metoprolol;Public Warning;01/05/2018
Cycling;Testosterone, Human Growth Hormone (hGH), Oxandrolone;4-Year Suspension - Loss of Results;12/28/2017
Track and Field;Non-Analytical: Ostarine;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";12/27/2017
Track and Field;Non-Analytical: Ostarine, Methylstenbolone;2-Year Suspension - Loss of Results;12/22/2017
Track and Field;Non-Analytical: Use and Possession (Ostarine);1-Year Suspension - Loss of Results;12/21/2017
Weightlifting;Non-Analytical: Possession (Peptides);2-Year Suspension - Loss of Results;12/20/2017
Track and Field;Non-Analytical: Possession (Peptides);2-Year Suspension - Loss of Results;12/15/2017
Track and Field;Non-analytical: Use and Possession (AICAR);4-Year Suspension - Loss of Results;12/08/2017
Cycling;Cannabinoids;6-Month Suspension with 3-Month Deferral - Loss of Results;12/07/2017
Track and Field;Canrenone;Public Warning;12/06/2017
Track and Field;Non-Analytical: Use and Possession (Ostarine);1-Year Suspension from 1/8/2017 - Loss of Results from 8/25/2015;12/04/2017
Bobsled and Skeleton, Track and Field;1,3-dimethylbutylamine (DMBA);2-Year Suspension with 161 Day Credit - Loss of Results;"Original: 08/03/2017; Updated: 12/01/2017"
Cycling, Triathlon;Non-Analytical: Use and Possession (Testosterone, hGH and Oxandrolone);4-Year Suspension - Loss of Results;11/28/2017
Track and Field;Non-Analytical: Use and Possession (Ostarine);4-Year Suspension - Loss of Results;11/21/2017
Triathlon;Vilanterol;Public Warning - Loss of Results;11/10/2017
Track and Field - Athlete Support Personnel;Non-Analytical: Possession, Adminstration and Complicity;"Lifetime; Second Violation";11/08/2017
Volleyball;Hydrochlorothiazide, Triamterene;No Fault or Negligence;
Track and Field;Non-Analytical: Use and Possession (Ostarine);4-Year Suspension - Loss of Results;11/03/2017
Mixed Martial Arts;Clenbuterol;No Fault or Negligence;
Mixed Martial Arts;Stanozolol Metabolites;2-Year Suspension;10/20/2017
Mixed Martial Arts;Clomiphene;1-Year Suspension;10/13/2017
Paralympic Track and Field;Non-Analytical: Evading Sample Collection;4 Year Suspension with 1 Year Reduction - Loss of Results;10/10/2017
Mixed Martial Arts;Clomiphene and its metabolite;1-Year Suspension;09/21/2017
Cycling;Clomiphene and its metabolite;6-Month Suspension - Loss of Results;09/06/2017
Weightlifting;Clomiphene and Methylphenidate metabolite Ritalinic Acid;4-Year Suspension - Loss of Results;08/31/2017
Paralympic Basketball;Non-Analytical: Use (Higenamine);Public Warning;08/29/2017
Cycling;Raloxifene, Ostarine, Ibutamoren, GW1516 sulfone, RAD140, LGD4033, Andarine;8-Year Suspension - Loss of Results;08/28/2017
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;"2-Year Suspension - Loss of Results; Sanction tolled due to retirement; Unretired - Eligible to compete starting 3/7/2020";08/22/2017
Mixed Martial Arts;Hydrochlorothiazide, Chlorothiazide, Ostarine and Stanozolol Metabolites;10-Month Suspension;08/18/2017
Weightlifting;Higenamine, 1,4-dimethylpentylamine;9-Month Suspension - Loss of Results;08/16/2017
Track and Field;Non-Analytical: 3 Whereabouts Failures;1-Year Suspension - Loss of Results;08/15/2017
Track and Field;Ostarine;9-Month Suspension - Loss of Results;08/11/2017
Cycling;Clenbuterol;4-Year Suspension - Loss of Results;08/08/2017
Luge;Cannabinoids;"6-Month Suspension - Loss of Results; Sanction tolled due to retirement";07/27/2017
Bobsled and Skeleton;Dimethylbutylamine (DMBA);16-Month Suspension - Loss of Results;07/20/2017
Track and Field;Non-Analytical: Use and Possession;2-Year Suspension - Loss of Results;07/19/2017
Track and Field;Androgenic Anabolic Steroid;"4-Year Suspension - Loss of Results; Sanction tolled due to retirement";07/17/2017
Weightlifting;Non-Analytical: Refusal to Submit to Sample Collection;4-Year Suspension - Loss of Results;07/14/2017
Cycling;Modafinil;21-Month Suspension - Loss of Results;07/07/2017
Weightlifting;GW1516;4-Year Suspension - Loss of Results;06/30/2017
Weightlifting;Clomiphene and GW1516;2.5-Year Suspension - Loss of Results;06/30/2017
Track and Field;Probenecid;No Fault or Negligence;
Mixed Martial Arts;Clomiphene and its metabolite;"1-Year Suspension; Second Violation";06/20/2017
Track and Field;Zeranol;No Fault or Negligence - Loss of Results;
Archery;Canrenone;Public Warning;06/16/2017
Weightlifting;Ostarine;"8-Year Suspension - Loss of Results; Second Violation";06/08/2017
Paralympic Track and Field;Androgenic Anabolic Steroid;21-Month Suspension - Loss of Results;06/08/2017
